asv	SRR3426343	SRR3426353	SRR3426354	SRR3426355	SRR3426358	SRR3426359	SRR3426363	SRR3426364	SRR3426366	SRR3426369	SRR3426370	SRR3426374	SRR3426375	SRR3426377	SRR3426388	SRR3426393	SRR3426394	SRR3426398	SRR3426400	SRR3426410	SRR3426417	SRR3426418	SRR3426421	SRR3426432	SRR3426436	SRR3426437	SRR3426441	SRR3426442	SRR3426443	SRR3426447	SRR3426448	SRR3426452	SRR3426453	SRR3426454	SRR3426459	SRR3426460	SRR3426464	SRR3426465	SRR3426466	SRR3426470	SRR3426471	SRR3426477	SRR3426488	SRR3426489	SRR3426490	SRR3426494	SRR3426499	SRR3426512	SRR3426513	SRR3426521	SRR3426530	SRR3426531	SRR3426532	SRR3426536	SRR3426541	SRR3426543	SRR3426546	SRR3426547	SRR3426624	SRR3426664	SRR3426665	SRR3426667	SRR3426677	SRR3426684	SRR3426688	SRR3426799	SRR3426803	SRR3426804	SRR3426807	SRR3426810	SRR3426812	SRR3426838	SRR3426842	SRR3426871	SRR3426875	SRR3426876	SRR3426877	SRR3426878	SRR3426879	SRR3426880	SRR3426882	SRR3426883	SRR3426884	SRR3426885	SRR3426888	SRR3426889	SRR3426894	SRR3426895	SRR3426902	SRR3426936	SRR3426937	SRR3426947	SRR3427000	SRR3427001	SRR3427052	SRR3427060	SRR3427082
f654a8ce0cd28ff70e8f955a3591b52c	0	0	0	0	0	602	0	2	141	4	0	0	66	3656	2800	0	0	0	3	0	0	0	0	5	9	0	0	0	3	0	14	0	0	415	0	0	0	126	0	0	3	5	0	0	27	4	0	0	155	0	0	0	25	0	35	0	0	18	0	0	1848	0	4	10	3801	1102	0	0	0	1079	0	0	0	0	0	1561	3822	4055	5440	1339	0	842	8	11	0	0	0	0	0	0	0	0	0	3574	0	0	0
308b23dc29a378b79cf08cae9cc1c933	45	7	0	88	323	8	0	12	113	180	0	241	0	0	8	3410	0	0	0	0	6	0	0	0	431	51	7	58	0	18550	541	2797	0	89	0	14	158	19	21	0	0	0	0	0	0	0	0	0	336	124	0	0	60	81	102	0	8	382	0	0	12	12	272	0	17	0	232	0	0	0	0	0	351	67	28	244	0	0	0	0	0	0	0	0	3	0	355	0	1790	0	13	0	4627	224	0	9	13
ba36ffd0c31448de5ec121889f9e06ec	350	0	0	53	0	0	396	28	23	0	0	0	29	8683	2881	29	11	0	3	236	543	0	14	0	5	140	0	76	0	0	137	61	0	588	46	243	49	108	13	25	0	123	0	13	860	98	0	96	147	318	0	678	405	130	3129	437	19	2332	380	0	2023	0	22	111	2842	531	24	991	176	390	113	31	100	21	13	339	751	214	427	1639	0	95	0	19	29	417	37	29	51	238	244	53	29	188	70	0	0
674cce2cd7fa64d4f6708e2c3dfe9f7b	17	114	1231	26	846	142	1185	4	60	27	169	9	59	0	0	0	459	1183	889	950	722	62	19	0	457	1297	48	34	0	4	469	13	169	445	230	700	43	351	80	148	1029	0	0	21	839	845	0	963	333	589	929	132	61	90	623	0	1969	875	0	1276	0	279	93	130	861	0	14	139	502	0	2237	1377	170	730	496	1636	316	0	0	0	0	104	0	0	29	215	199	102	0	298	308	0	0	116	0	2303	181
b8583b00422d553d888dc037c5f79be4	405	1956	141	566	2575	622	627	0	315	600	184	24	183	0	0	44	98	265	166	930	134	26	63	0	535	769	1277	316	0	16	1872	100	70	98	140	50	160	208	430	135	154	398	0	205	45	1588	0	332	55	1026	274	16	3314	326	144	0	48	131	0	110	0	161	525	183	312	0	310	8	380	0	144	289	220	188	226	3526	96	0	0	0	1270	41	0	0	110	22	366	359	316	226	54	0	174	295	0	1268	109
7c9e746d7a63e1536c3d654870485512	0	0	0	0	0	0	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	0	0	0	0	14	0	0	0	0	9	0	0	0	0	0	7	0	0	0	0	0	12	0	0	21984	0	6	12250	0	30	0	0	0	0	0	0	10	0	4	0	0	0	0	0	0	0	0	15	10	0	0	0	9	0	0	0	0	0	0	8	0	0	0	0	0	0
cf7f67428c1e79788dcfa905572dfe9c	109	0	9	0	4	14	0	0	12	24	0	11	274	973	646	8	0	0	0	40	379	0	0	56	0	0	14	0	29	22	65	8	3	54	35	370	60	63	12	0	69	66	744	0	274	0	1092	0	144	14	0	9	21	0	4953	388	0	8705	1553	0	458	12	0	327	658	859	0	60	81	960	0	0	21	9	0	1318	1108	2208	2175	688	16	156	17	0	0	538	41	0	88	24	128	98	11	812	30	0	13
21b07d303a68e2333473e56582048e95	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	7	0	0	0	0	0	0	4	0	0	0	11	0	0	305	0	0	8	482	0	0	0	0	0	0	0	0	0	0	3	7	0	7	4	0	0	0	7697	0	0	0	11898	0	0	0	0	0	0	0	3753	9475	6	0	0	9	9	0	0	0	0	2	0	0	4	0	0	0	0	0
0cdd272256687370821728a8dc9becf7	0	0	0	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0	0	0	24	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1104	0	0	0	873	0	0	0	0	0	0	0	0	8474	0	0	2565	0	0	5	0	0	0	9965	0	7	0	7912	0	0	0	0	0	0	0	888	992	0	0	0	10	9	0	0	0	0	3	0	0	0	0	0	0	0	0
1c667d2d8c8f242e48c581b03bd010b4	69	934	276	1410	505	1623	788	0	622	1053	75	550	496	0	0	194	217	370	109	36	42	368	1195	0	126	625	211	550	0	29	86	115	153	89	121	39	798	124	205	827	116	814	0	1001	0	21	0	174	628	446	192	205	3050	301	0	0	64	0	0	21	0	142	20	158	182	0	1945	0	178	0	39	71	170	112	67	1819	169	0	0	0	531	97	0	0	427	81	8	595	2700	353	0	32	58	117	7	0	575
