ASV	SRR20752627	SRR20752628	SRR20752629	SRR20752630	SRR20752631	SRR20752632	SRR20752633	SRR20752634	SRR20752635	SRR20752636	SRR20752637	SRR20752638	SRR20752639	SRR20752640	SRR20752641	SRR20752642	SRR20752643	SRR20752644	SRR20752645	SRR20752646	SRR20752647	SRR20752648	SRR20752649	SRR20752650	SRR20752651	SRR20752652	SRR20752653	SRR20752654	SRR20752655	SRR20752657	SRR20752658	SRR20752659	SRR20752660	SRR20752661	SRR20752662	SRR20752663	SRR20752664	SRR20752665	SRR20752667	SRR20752668	SRR20752669	SRR20752670	SRR20752671	SRR20752672	SRR20752673	SRR20752674	SRR20752675	SRR20752677	SRR20752678	SRR20752679	SRR20752680	SRR20752681	SRR20752682	SRR20752683	SRR20752685	SRR20752686	SRR20752687	SRR20752688	SRR20752689	SRR20752690	SRR20752691	SRR20752692	SRR20752694	SRR20752695	SRR20752697	SRR20752698
63f0ed4f82c0031a9cabf74f9e95f434	135	255	117	326	229	494	881	0	487	475	304	321	766	651	266	174	887	727	0	752	455	1086	1295	465	375	923	417	816	323	1010	1817	0	0	249	150	0	126	339	283	1544	372	280	758	739	374	667	0	509	471	352	213	396	162	3634	178	19	0	0	177	151	0	0	0	0	0	0
7f2dd336989eb7161898f86181b4696d	529	347	349	352	691	799	358	5	557	351	573	544	319	177	116	304	88	430	0	211	671	281	144	303	362	50	356	81	55	233	614	679	815	1022	958	0	954	1262	202	536	203	377	223	301	777	921	0	1256	1105	530	1767	1487	345	0	182	0	1385	536	0	212	235	348	375	85	0	0
e101aa5ccd8ee5a1f190b2de79bb3a9f	456	108	212	1774	977	1313	4750	0	1077	503	1257	971	738	152	197	64	611	1056	0	134	311	2570	504	548	577	455	639	528	148	89	182	0	10	519	433	0	522	674	55	148	95	398	201	104	459	147	6	90	571	39	64	0	0	0	0	0	905	20	0	36	6	10	272	0	0	0
d0de4040a4eb7d424531a17e5d6fca66	855	358	153	245	549	154	247	0	233	231	157	268	95	279	433	1687	187	305	0	298	672	151	87	307	407	363	460	298	219	0	113	243	3529	64	392	0	183	321	645	150	144	597	196	77	0	348	0	0	222	58	0	0	1013	0	0	0	119	319	0	0	209	687	4728	3108	0	0
39d6a19d4bcb7cd4973fd2c4ef624f40	430	3	0	197	154	162	217	0	266	308	274	263	251	341	525	16	736	383	0	29	850	606	340	1360	1230	590	1457	446	386	136	604	0	0	340	212	0	17	935	13	614	0	264	128	631	5428	1274	5	1525	1235	112	1434	6	0	0	0	0	0	0	0	2	0	0	0	0	2	0
975c467a7e5b786f47309295a21baf67	417	787	174	261	530	758	266	0	492	808	461	387	858	414	674	231	1449	625	0	690	576	904	728	1016	1094	843	1111	810	602	257	253	7	338	425	349	0	335	804	209	250	241	1166	374	208	141	191	415	58	401	223	230	195	52	0	44	0	270	806	56	46	50	345	0	0	0	0
596ff641f9050e3a2f089fa55340879d	0	17	0	71	0	217	68	0	104	413	29	29	874	2372	927	0	1340	755	0	542	23	651	607	383	369	488	307	484	478	839	2191	0	0	71	0	0	0	104	116	2456	1159	490	798	3987	585	816	0	553	24	0	63	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14167db6f33841ab3fd1da62fa286176	269	124	444	764	276	642	531	0	480	514	194	153	858	1210	281	1724	730	287	22	736	178	184	462	1001	1011	235	1029	233	2452	472	433	0	0	411	198	0	108	290	201	532	87	511	730	138	554	214	0	245	124	165	120	451	64	618	525	0	985	44	0	594	0	0	0	0	0	0
304f95e07cc6192ba9e7122e1417c402	105	0	73	144	145	280	1092	0	235	509	54	64	1457	3010	1236	84	1633	869	0	1142	90	385	1834	544	591	614	555	631	194	1014	513	0	0	96	47	0	51	173	88	456	1845	1032	271	643	332	125	0	173	766	48	160	0	0	127	67	0	0	91	0	66	0	0	0	0	0	0
ef44512aa5a307abc886f5b147e0570b	411	0	0	0	0	0	0	0	0	0	86	137	0	0	0	0	0	0	17	0	0	0	0	91	133	73	102	66	0	0	0	5494	699	0	0	52	31	0	397	0	51	191	0	0	0	25	0	0	22	55	0	0	885	10	0	0	4661	800	128	0	2001	2056	1213	5719	0	0
53ce65dfd68a3ecc874a9cb3e54d6b5e	69	0	0	1428	607	948	844	0	901	1887	352	461	987	1660	356	0	2598	565	0	1239	1069	1211	715	502	547	1570	579	1442	506	106	27	0	0	0	0	0	0	904	20	24	178	53	9	1090	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3
0c55294712ac2bcfb727ebd5dccb4471	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	5684	0	0	0	0	0	0	0	0	0	0	0	0	2614	65	0	0	5742	0	0	0	0	0	0	0	0	0	0	5020	0	0	0	0	0	0	0	0	0	0	0	0	0	318	611	820	4178	394	0
304d44cd8126f8c57b36bece91a2826e	318	722	446	419	224	117	608	0	333	589	329	353	249	404	563	543	1132	417	0	585	574	406	454	162	193	97	184	83	340	326	60	108	896	345	510	7	635	657	2861	83	95	190	150	340	520	749	0	0	252	1740	412	943	210	0	75	0	18	271	24	61	1363	239	24	110	0	0
e030b7a6670e08b10e56cbf80b47e5b6	22	138	137	54	8	0	1310	0	57	691	0	0	17	40	2	507	4	0	0	10	0	90	9	21	32	0	14	0	149	99	0	2	0	138	20	0	172	78	0	4	0	421	135	0	0	0	0	0	64	2406	11516	415	1540	0	2364	0	0	682	0	1418	0	0	0	0	0	0
1c141b8ea291bf72ded2541a6ebffbea	679	762	536	505	1009	486	550	0	898	322	586	475	183	125	791	163	492	333	0	982	611	138	198	361	491	1196	612	1104	207	0	107	166	15	555	523	0	691	608	3609	123	235	223	103	69	0	64	0	0	180	98	164	142	144	0	0	13	39	93	779	19	0	0	0	0	20	0
b92574c17248cb3e4efa9ae1af8622fc	0	49	25	34	0	29	0	0	42	80	16	0	52	71	36	353	176	148	0	62	49	16	56	40	52	129	23	77	47	64	1514	0	0	35	91	0	12	27	0	1507	1576	1524	44	550	0	503	0	10125	57	402	554	0	0	0	0	0	0	0	0	0	0	0	1085	2201	0	0
