asv	SRR2085804	SRR2085805	SRR2085806	SRR2085807	SRR2085813	SRR2085814	SRR2085819	SRR2085820	SRR2085821	SRR2085822	SRR2085827	SRR2085828	SRR2085831	SRR2085832	SRR2085833	SRR2085834
6fbe00b2afec02ba582f470dfc25de3b	0	58	111	0	0	44	0	0	0	0	0	0	0	28	32	0
ec4e5a0bcf117ebcfaca1751a5a215da	0	0	0	39	0	0	0	0	0	194	0	0	0	0	0	40
342149d0054ff5453dbbe4214560b0df	21	8	60	31	14	13	13	13	15	7	19	11	9	10	8	20
1012f1a408c9a6f163c2736f039ab300	25	61	40	27	93	0	25	0	0	0	0	0	0	0	0	0
1a4732997ad89a551c52d5b7a10b1305	0	0	0	0	153	0	43	0	0	0	0	0	30	40	0	0
fbe3fc3ca7becbb2d6c47a6ea4b1e0d7	0	0	46	39	37	0	0	0	0	0	0	28	0	24	40	50
35f5afe9920a0d0c20d3f24ad308d860	0	0	0	36	0	0	0	0	167	0	26	33	0	0	0	0
1e98b2b7103a039f085b9dc6bce08ef6	96	0	43	101	0	0	0	0	0	0	0	0	0	0	0	21
a63ec901321db7c9437253dc83332841	0	31	0	58	0	0	0	0	0	0	38	0	0	110	22	0
4e62a7506f964544115af94884b9e402	0	0	0	50	59	0	0	0	0	0	47	38	0	0	65	0
9e1e0208bf312c164c85c0a7ed34124d	0	0	137	118	0	0	0	0	0	0	0	0	0	0	0	0
1e3060d0f641a824a0fa42b563c15602	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0
2a85dd5250b4775f883cca439d6f76d4	0	0	0	42	0	0	0	0	66	0	0	61	0	0	85	0
450ae22d29738033e5a63097e2d1d9ef	98	28	23	45	0	5	8	14	32	0	0	0	0	0	0	0
88739dcc8a1857d36a3e2596aabccfe7	0	0	0	0	0	0	126	0	0	0	33	10	83	0	0	0
bb3dbc5f2f9b337b98e63c5bd183e45b	31	0	26	60	0	0	0	0	0	42	0	27	35	0	27	0
25ee6c35e71b2c6c2fc5fa2df09cdcd0	58	0	44	29	0	0	0	15	17	0	21	0	8	0	27	28
be5fbd9e13d10f006fc8438029cd007f	17	16	0	0	0	0	41	46	0	0	0	0	109	0	16	0
f958d8156e316eed89587089a6978961	0	0	0	0	0	0	29	0	122	0	0	0	0	89	0	0
0d90c59d3eaf534b2e5af00d4701db58	30	85	0	0	0	0	0	0	0	0	33	0	25	0	34	31
27a055f334aedfcc4070d2e70bd1143f	0	0	0	0	0	0	0	62	0	0	0	76	0	100	0	0
d92685a686f76ccb81ceec9aca0e603d	0	0	0	0	0	0	0	0	155	0	0	83	0	0	0	0
2c4a63ab43d19ae5d38934d3f13a9f76	0	46	31	40	0	0	0	0	0	16	23	17	0	0	39	25
a5814522d8a44f220993bde540cd4644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237
0fe69ce3e897cd8989e66032877984c6	0	14	17	22	12	7	38	44	15	0	16	14	12	6	0	17
0d1d252c6e7a9715d3f40c6df048ea25	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	51
355347c0005f5026643e231718511df1	0	0	128	32	0	0	0	0	0	0	73	0	0	0	0	0
c298479c6b03f79e67bdef8f97f83cf2	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	149
930666f17236bafd502e37c9da76fd2f	12	23	39	11	11	28	0	0	0	50	16	39	0	0	0	0
9fc29e26e31aa27a1e56fcdf4744a89c	0	60	41	0	23	0	0	0	0	0	0	0	0	0	34	69
058afc0fb3d86f271e3f8ab5f0fc6c3a	5	0	0	0	37	55	0	22	0	0	52	15	30	0	0	9
0bd3c881f5b5a05f887eebe8402310ca	0	0	0	0	0	0	0	84	0	0	0	0	0	141	0	0
714d178b57fbdf2d071aa45ed8f4d39f	0	50	50	0	0	0	0	124	0	0	0	0	0	0	0	0
c48504fe042325a4d8d43c90c5a3c782	15	37	15	21	0	7	24	0	6	39	12	10	0	0	0	37
fc7d3367bbe3c3fa13aaeeef9b97fae5	31	28	0	0	0	0	0	0	134	30	0	0	0	0	0	0
d96bb235acd049436576e138a3a6b82c	0	0	16	0	0	0	32	0	0	0	39	21	16	0	55	43
062ccc718329c3972d1ac842a770b51a	0	0	0	39	51	0	0	0	20	16	0	0	0	0	57	38
071c3a5b5efa065b569e79c390cfbbe6	0	0	0	0	0	0	0	0	97	21	0	0	103	0	0	0
4c8273c6c0df45838088764275aab93a	55	0	0	26	0	0	0	138	0	0	0	0	0	0	0	0
2153612f9a5108a8f2150f2600f1e912	0	0	0	25	0	0	117	76	0	0	0	0	0	0	0	0
a8803ad84a81d5d8b368ce8a8112500f	89	0	0	56	0	0	0	0	0	16	0	0	0	0	56	0
b56007b92a33bfa6f38badefed91a0ca	58	0	22	105	0	0	0	0	0	0	0	0	0	0	0	32
f7fc3880debc3d69ff16e53e2767f514	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0
2453fe16cb6ab60507b405fc991e8a8e	0	0	0	0	0	18	0	0	27	0	0	24	0	0	146	0
a2794224b972beef7c3901750d058c77	0	0	15	0	25	0	68	64	0	0	0	0	0	0	40	0
0ab19c2261690c6bad31d1681b6fcbab	0	0	28	64	0	0	38	52	0	0	0	30	0	0	0	0
64d8eda5309e2d2103af10d2b6c8d9d9	10	23	0	0	43	0	0	0	0	0	0	14	0	0	121	0
d8770dadd4b52911958ee9e96df9d6ed	0	0	152	0	0	0	0	0	0	0	0	0	20	34	5	0
6d1fe743aea7d423c2fef879acb09838	69	0	39	21	17	13	0	0	0	22	0	0	0	0	0	27
1bdc0746f8e1751311ed3e2d729176ab	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0
08bab7cb4658e2e1a900389b647df5c9	0	0	0	0	0	0	0	89	0	0	0	66	0	51	0	0
8047f115eb9e360f9436c48c6fac6733	0	0	0	0	0	0	0	0	120	0	0	0	0	0	26	60
c70dd0f7b506b9828c22645dcdc20462	0	125	0	0	0	0	0	0	80	0	0	0	0	0	0	0
9fc324f44b8013fe12f237198a4fb92f	81	0	91	0	0	0	0	0	0	0	0	32	0	0	0	0
805acf8d5bf85b68b19a9f037bae9bfa	0	0	24	23	0	0	0	0	104	52	0	0	0	0	0	0
9b2a93198d84bd818e70c01f55397ce9	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0
3cb8b79abc1fed2f83953421a77f41f8	123	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0
54b079a3cbaddec4375c2ff86531a89d	0	31	70	77	0	0	0	0	0	0	0	0	0	0	0	23
ee68194813af39a90d075644b2658098	45	10	0	0	0	0	38	85	0	0	0	0	0	0	0	21
d05dd429ed2d23ffcb618c1b4888874d	0	0	0	33	41	23	34	0	34	0	0	0	0	0	34	0
a4eebb90c49207a0a2099acd4af2b376	0	0	0	0	0	0	0	0	109	0	0	0	0	0	90	0
46181c782453008e57ae75b2cbbb27a0	71	0	54	0	0	0	0	0	72	0	0	0	0	0	0	0
ea09f097d985270dd9397ee0323610b7	0	38	16	0	23	0	0	0	0	0	51	23	0	15	28	0
5f2f0a4162429221ca0dc92a791ec92d	6	0	0	14	0	0	78	0	27	57	0	0	0	0	11	0
30b3bb97f317645519a7e336617d00f4	0	0	34	0	0	0	0	0	116	0	0	0	0	0	41	0
3ebef849dadfe3e09cc7f526c3cffb67	0	0	0	0	0	0	0	74	0	0	68	49	0	0	0	0
10f29827e7d2148c9a7ae7ae2900676f	32	0	33	0	0	0	0	0	51	0	9	28	0	0	7	30
