time,reactor,Acetic_acid,Propionic_acid,Isobutyric_acid,Butyric_acid,Isovaleric_acid,Valeric_acid
264,8,749.0149185,379.3257352,22.59898336,290.6608972,47.00708985,75.26286076
264,9,785.2573762,352.1535649,24.13479193,289.9635384,51.50139923,95.51471319
264,10,709.7481305,270.5431713,24.91346927,218.0388178,59.69175247,133.3662465
264,11,766.5678541,235.5138173,24.21001291,197.0868065,81.80208341,162.1945326
264,12,664.7749607,335.1534695,23.42884347,221.3954929,55.08509164,91.724291
288,1,714.3399141,347.7793707,13.66987942,273.3605582,48.35419102,77.19702585
288,2,652.9014618,258.4257736,23.12929315,294.9862161,62.08975288,102.344947
288,3,752.8366703,330.2178551,21.37852247,243.6640184,56.30784753,80.27956631
288,4,661.2239941,236.8643354,25.56266276,206.6001709,82.51907414,120.6565944
288,5,607.9469756,316.4079472,17.24239293,311.3347696,57.0106409,113.9931464
288,6,728.4565268,446.6790636,18.40351192,256.4939346,48.48954915,90.81116456
288,7,678.2087319,220.2725129,18.44435863,161.1830667,86.96596879,158.9871754
288,8,730.8032901,374.5356351,22.38360979,287.5115438,52.31029587,77.35903667
288,9,870.4451777,380.2140615,25.77373498,337.3007314,62.14555168,99.79208282
288,10,667.7063178,230.2328441,22.61755442,237.4423868,80.67900863,157.7272779
288,11,698.7362384,209.5283394,23.39034878,187.7072434,88.81883512,159.1017024
288,12,685.201169,318.4569188,22.03975622,241.9147892,47.75846254,94.78697197
312,1,688.8715455,365.6984013,22.19325201,260.2398382,50.99607864,78.60516952
312,2,612.6794583,292.3618425,21.10791575,293.4739807,67.33268536,90.90686209
312,3,716.7970633,339.9881336,22.38976999,228.7561169,57.80249393,78.71774161
312,4,697.5591708,250.6665332,26.11009184,203.657522,94.68697323,153.2352538
312,5,623.3200295,377.824794,17.33547733,332.4346093,64.29006305,100.3574882
312,6,667.4158956,449.7976762,18.7018089,241.1397805,40.74255407,83.46816404
312,7,626.0084995,231.8005029,19.07022448,158.8857333,96.46460999,153.2744128
312,8,747.8848141,388.8138515,22.29254184,286.1882181,57.34121995,70.92064281
312,9,846.1785975,404.3516588,28.73179842,386.5187625,70.48896384,97.71771635
312,10,585.1276127,224.43594,23.15456719,228.1958161,92.61008052,154.856292
312,11,689.6706194,220.0223731,25.99586696,208.3273909,106.3445213,177.8346391
312,12,672.2468803,352.1653356,21.35092121,278.2428361,42.68755584,102.6005604
