asv,domain,domain_conf,phylum,phylum_conf,class,class_conf,order,order_conf,family,family_conf,genus,genus_conf
b72014c09579cbd1a4fd58a1f23dd1eb,Bacteria,1,Firmicutes,1,Negativicutes,1,Selenomonadales,1,Veillonellaceae,1,Anaerovibrio,1
19a86d54b0f820e2409b0774e6cda56d,Bacteria,1,Bacteroidetes,0.94,Bacteroidia,0.84,Bacteroidales,0.84,NA,0.77,NA,0.33
5269f9b5fc31fbc4c4bdae18e573ad3b,Bacteria,0.98,NA,0.52,NA,0.49,NA,0.48,NA,0.44,NA,0.17
e29b5d3316aa51609a8a91bbb5ed6694,Bacteria,1,Firmicutes,0.98,Bacilli,0.95,Lactobacillales,0.94,NA,0.53,NA,0.32
7f6fb2fdc3f61593cfc19ec6a1f92751,Bacteria,1,Bacteroidetes,0.94,Bacteroidia,0.9,Bacteroidales,0.9,Prevotellaceae,0.86,NA,0.6
cf996a6f35fda0df2e41c1c4d4fef46e,Bacteria,0.99,NA,0.72,NA,0.66,NA,0.66,NA,0.66,NA,0.66
a23015f90f012e2f5438aecc7691d647,Bacteria,1,Firmicutes,0.87,NA,0.67,NA,0.67,NA,0.66,NA,0.38
c7f7b0255e2f4268b0ab0ed5052bfef2,Bacteria,1,Verrucomicrobia,0.85,NA,0.77,NA,0.77,NA,0.77,NA,0.77
e3c58fc9773f5c8eadbcc84201a4817e,Bacteria,1,Proteobacteria,0.85,Deltaproteobacteria,0.81,NA,0.4,NA,0.4,NA,0.06
3195bd38117ee770c923c695c2a4d4f8,Bacteria,1,NA,0.78,NA,0.43,NA,0.43,NA,0.43,NA,0.38
c91e5bf626763c865e6ac064d31fb660,Bacteria,1,Firmicutes,0.91,Clostridia,0.91,Clostridiales,0.91,NA,0.67,NA,0.26
23571e63fcc6da931ce1e3eaa29e8da5,Bacteria,1,Bacteroidetes,0.86,NA,0.43,NA,0.43,NA,0.26,NA,0.13
fd8ddd57477d859addd44a04692d0304,Bacteria,1,Actinobacteria,1,Actinobacteria,1,Coriobacteriales,1,Coriobacteriaceae,1,NA,0.57
fed645cfc633bc7221ff9e25796f8166,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Prevotellaceae,1,NA,0.78
cf188a7218b9d575f8a991dfa68ba6e3,Bacteria,1,Bacteroidetes,0.99,NA,0.36,NA,0.36,NA,0.34,NA,0.34
980cbf5fff3852d3aabd670a11aaf576,Bacteria,1,Bacteroidetes,1,Bacteroidia,0.84,Bacteroidales,0.84,NA,0.42,NA,0.38
58d751c09433865fd5b00a12b6a359f3,Bacteria,1,NA,0.21,NA,0.21,NA,0.21,NA,0.21,NA,0.16
a235057a65aa63d12bacc5d8d932d138,Bacteria,1,NA,0.57,NA,0.57,NA,0.57,NA,0.57,NA,0.16
a1b02d9d649121c647d0b325239d4f06,Bacteria,1,Firmicutes,0.99,Negativicutes,0.96,Selenomonadales,0.96,Veillonellaceae,0.96,NA,0.5
d4378d7d0e0024a35e1c34a9d857814e,Bacteria,1,Bacteroidetes,1,Bacteroidia,0.97,Bacteroidales,0.97,Prevotellaceae,0.87,NA,0.66
40c3fcc7e3daeb071a46b8a806f4f709,Bacteria,1,Proteobacteria,0.86,Deltaproteobacteria,0.82,NA,0.44,NA,0.44,NA,0.09
0cab15b20ac63ffd5e566a2c844d1e23,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,0.95,NA,0.53
9af5f2b6b72127b2fe0a4ee9d0ac4e27,Bacteria,1,Firmicutes,0.9,Clostridia,0.9,Clostridiales,0.9,Lachnospiraceae,0.9,NA,0.39
fba2f7f001a4b08d65ce2f0d5281bdbb,Bacteria,1,Firmicutes,0.89,NA,0.74,NA,0.73,NA,0.57,NA,0.31
340ea075ddfd963f27d4d6ef3f2bbc64,Bacteria,1,NA,0.67,NA,0.64,NA,0.64,NA,0.4,NA,0.09
4c2af9320e7d1ac3076a77abacbeee4f,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Prevotellaceae,1,Prevotella,1
be65f2123ebe03f44f2d2c46695b0109,Bacteria,1,NA,0.6,NA,0.59,NA,0.59,NA,0.59,NA,0.59
fd84fa6a767547b8175dfa4c062e7ffd,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.95,NA,0.38
073cad75e0d18ffb2ab9f7f70e7add99,Bacteria,1,Spirochaetes,0.97,Spirochaetes,0.97,Spirochaetales,0.97,Spirochaetaceae,0.97,Treponema,0.97
9da114401d5294c552724773ebe5ccdf,Bacteria,1,NA,0.6,NA,0.42,NA,0.42,NA,0.42,NA,0.38
59dd9d937b3f76a14e50d97732d42225,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Prevotellaceae,1,NA,0.77
b8a79543d16126324943fa92c1c446c8,Bacteria,1,NA,0.76,NA,0.59,NA,0.55,NA,0.27,NA,0.09
3cbd36e675a8b7888b4e13cb789002cf,Bacteria,1,Firmicutes,0.9,Clostridia,0.9,Clostridiales,0.9,Lachnospiraceae,0.9,NA,0.45
41bcc1a2d1aaf365f064e5e863ac07c1,Bacteria,1,NA,0.12,NA,0.12,NA,0.12,NA,0.12,NA,0.08
2c0f64b43055170a8fac9a5f22419122,Bacteria,1,NA,0.75,NA,0.6,NA,0.6,NA,0.21,NA,0.04
307550e6311116de1617f1b3e2dde35e,Bacteria,1,Firmicutes,0.92,Clostridia,0.88,Clostridiales,0.88,NA,0.54,NA,0.23
a7f5d37d46108edc045778a59e4256e8,Bacteria,1,Firmicutes,1,Clostridia,0.84,Clostridiales,0.84,Lachnospiraceae,0.84,NA,0.78
5388e9fe7c00fcf83043c6abde9f6749,Bacteria,1,Firmicutes,0.88,Clostridia,0.87,Clostridiales,0.87,Ruminococcaceae,0.87,NA,0.6
3229ce45fa10ef9d2171e9f9b618a987,Bacteria,1,Spirochaetes,0.98,Spirochaetes,0.98,Spirochaetales,0.98,Spirochaetaceae,0.98,Treponema,0.94
6d32b1a3b9ef9752e8e8dbddf846c7c1,Bacteria,1,Firmicutes,0.99,Clostridia,0.98,Clostridiales,0.98,NA,0.44,NA,0.3
beab7cac79bad04a73585e07eb5d0db4,Bacteria,1,NA,0.71,NA,0.64,NA,0.49,NA,0.49,NA,0.27
7eb353eb326f57053ffc8ccb0f46380f,Bacteria,1,Bacteroidetes,1,Bacteroidia,0.85,Bacteroidales,0.85,NA,0.51,NA,0.42
5540edae8362804769744164864e542e,Bacteria,1,Proteobacteria,0.98,Deltaproteobacteria,0.91,NA,0.62,NA,0.54,NA,0.28
05496dadb923e296bc07f7361161673e,Bacteria,1,Bacteroidetes,0.99,Bacteroidia,0.97,Bacteroidales,0.97,NA,0.47,NA,0.24
d2f6d3e003cd8b7ffc049838cfd8aaec,Bacteria,1,Bacteroidetes,1,Bacteroidia,0.92,Bacteroidales,0.92,NA,0.56,NA,0.25
217412d0b16a3d2103a5e247d88445ec,Bacteria,1,Bacteroidetes,0.98,NA,0.78,NA,0.78,NA,0.65,NA,0.53
408a8c8e7b92215cd828f9baca7e2d3a,Bacteria,1,Proteobacteria,0.94,Gammaproteobacteria,0.91,NA,0.37,NA,0.37,NA,0.27
4f77de97350364d34c55527c64bf4108,Bacteria,1,NA,0.14,NA,0.1,NA,0.1,NA,0.09,NA,0.09
c2fbde971f64cb92c19b78710ee4e370,Bacteria,1,Firmicutes,0.99,Clostridia,0.99,Clostridiales,0.99,Ruminococcaceae,0.99,NA,0.35
fc9eb3e83be6f96d4fc8201df9cae33b,Bacteria,1,Firmicutes,1,Clostridia,0.93,Clostridiales,0.93,Lachnospiraceae,0.9,NA,0.42
edfe9748a06bc9ff23f43152a2fb560f,Bacteria,1,Lentisphaerae,0.99,Lentisphaeria,0.99,Victivallales,0.99,Victivallaceae,0.99,Victivallis,0.99
ecc124d9983c450c51acdadede729e15,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,NA,0.31
f320c291bc6df03df31baa3d19ebbbca,Bacteria,0.98,NA,0.45,NA,0.23,NA,0.14,NA,0.11,NA,0.11
19e57f7a125c379b6a11ddeb8486d0e4,Bacteria,1,Firmicutes,0.98,NA,0.65,NA,0.65,NA,0.55,NA,0.55
468a00291fb44cd6f01c4c6f63ee9b1e,Bacteria,1,NA,0.79,NA,0.77,NA,0.76,NA,0.63,NA,0.33
db45313053b95ad87a797993e67b4865,Bacteria,1,Verrucomicrobia,0.94,Subdivision5,0.93,Subdivision5_genera_incertae_sedis,0.93,Subdivision5_genera_incertae_sedis,0.93,Subdivision5_genera_incertae_sedis,0.93
288c825244f226d28890e7956fb49d5f,Bacteria,1,Actinobacteria,1,Actinobacteria,1,Bifidobacteriales,0.99,Bifidobacteriaceae,0.99,NA,0.77
d4728c02e31a6507c715f150622b07ba,Bacteria,1,Firmicutes,0.9,Clostridia,0.9,Clostridiales,0.9,NA,0.74,NA,0.23
297129e084ef5a250602f82455936329,Bacteria,0.99,NA,0.4,NA,0.4,NA,0.4,NA,0.08,NA,0.08
20c769ec9e1345b59ccb137e3726b0c3,Bacteria,1,Firmicutes,1,Erysipelotrichia,1,Erysipelotrichales,1,Erysipelotrichaceae,1,Erysipelotrichaceae_incertae_sedis,1
a4eadb62d21a65fff136ff624c1de220,Bacteria,1,NA,0.5,NA,0.5,NA,0.5,NA,0.5,NA,0.37
ef27acf004bbe9de08e9bc5a69c565c1,Bacteria,1,NA,0.6,NA,0.6,NA,0.6,NA,0.59,NA,0.55
0fc9e2b0de503491c2b14b480aa55617,Bacteria,1,Firmicutes,1,Erysipelotrichia,1,Erysipelotrichales,1,Erysipelotrichaceae,1,NA,0.79
a479887affddd8d74491f366024ddea9,Bacteria,1,NA,0.76,NA,0.71,NA,0.71,NA,0.71,NA,0.71
6141794a770b6faf24f73fbc06265c65,Bacteria,0.94,NA,0.33,NA,0.19,NA,0.1,NA,0.09,NA,0.09
a87f3ee60b511f5fe6f4dc8544a5c50e,Bacteria,1,Bacteroidetes,1,Bacteroidia,0.99,Bacteroidales,0.99,Prevotellaceae,0.98,Prevotella,0.91
058bef5ce5450370e3b27466010a4164,Bacteria,1,Firmicutes,0.96,NA,0.73,NA,0.72,NA,0.51,NA,0.47
f393b5ab7a14d25f22222cd2576439ba,Bacteria,0.97,NA,0.67,NA,0.42,NA,0.42,NA,0.42,NA,0.27
eef4d66b54bd57b81f078b7ebd1ad7fc,Bacteria,1,NA,0.3,NA,0.3,NA,0.27,NA,0.27,NA,0.27
07226db71ba11f9400ade323617aa2ac,Bacteria,0.98,NA,0.52,NA,0.22,NA,0.13,NA,0.11,NA,0.11
