"file","genome","n_ribosomal_proteins","total_ribosomal_gene_len","n_reads_mapped","Filename","ReadCount","dataset","normalized_reads_per_kB_per_M"
"ERR3201410_1","Megasphaera_elsdenii_2410",31,13602,14,"ERR3201410_1.fastq",77208255,"Adult",0.0133309631577858
"ERR3201410_1","10675_0017_idba_bin.63",18,10164,21,"ERR3201410_1.fastq",77208255,"Adult",0.0267602952881054
"ERR3201410_1","10676_min2k_bin.2753",42,18609,10,"ERR3201410_1.fastq",77208255,"Adult",0.00696006390426299
"ERR3201410_1","Megasphaera_hexanoica_MH",42,17547,4,"ERR3201410_1.fastq",77208255,"Adult",0.00295252360390791
"ERR3201410_1","10678_min2k_bin.2957",37,16101,20,"ERR3201410_1.fastq",77208255,"Adult",0.0160884204949295
"ERR3201410_1","Ruminococcaceae_CPB6",41,18129,8,"ERR3201410_1.fastq",77208255,"Adult",0.00571547594216692
"ERR3201410_1","10678_0024_idba_bin.135",41,17709,9,"ERR3201410_1.fastq",77208255,"Adult",0.00658240704020481
"ERR3201410_1","10677_0034_idba_bin.198",42,18354,47,"ERR3201410_1.fastq",77208255,"Adult",0.033166786379744
"ERR3201410_1","10676_min2k_bin.3406",41,18084,6,"ERR3201410_1.fastq",77208255,"Adult",0.00429727369590013
"ERR3201410_1","malmuthuge.164",43,18489,13,"ERR3201410_1.fastq",77208255,"Adult",0.00910680826181833
"ERR3201410_1","malmuthuge.79",28,12450,6,"ERR3201410_1.fastq",77208255,"Adult",0.00624191947924964
"ERR3201410_1","10677_0023_idba_bin.13",41,18111,6,"ERR3201410_1.fastq",77208255,"Adult",0.00429086729151665
"ERR3201410_1","10677_0019_idba_bin.37",23,9222,12,"ERR3201410_1.fastq",77208255,"Adult",0.0168535887045452
"ERR3201410_1","10674_min2k_bin.1792",42,18066,8,"ERR3201410_1.fastq",77208255,"Adult",0.00573540702731894
"ERR3201410_1","10677_min2k_bin.3664",29,11922,1,"ERR3201410_1.fastq",77208255,"Adult",0.00108639346749228
"ERR3201410_1","malmuthuge.158",35,15363,1,"ERR3201410_1.fastq",77208255,"Adult",0.00084306339383213
"ERR3201410_1","malmuthuge.34",41,17973,1,"ERR3201410_1.fastq",77208255,"Adult",0.000720635559975686
"ERR3201410_1","10674_0003_idba_bin.96",41,18645,1,"ERR3201410_1.fastq",77208255,"Adult",0.000694662532552588
"SRR5190273_1","Megasphaera_elsdenii_2410",31,13602,2952,"SRR5190273_1.fastq",22574451,"Calf",9.61382882833675
"SRR5190273_1","Megasphaera_hexanoica_MH",42,17547,527,"SRR5190273_1.fastq",22574451,"Calf",1.33042544340535
"SRR5190273_1","10674_0003_idba_bin.96",41,18645,327,"SRR5190273_1.fastq",22574451,"Calf",0.776905449368004
"SRR5190273_1","10677_0023_idba_bin.13",41,18111,2,"SRR5190273_1.fastq",22574451,"Calf",0.00489181886807313
"SRR5190273_1","malmuthuge.158",35,15363,43,"SRR5190273_1.fastq",22574451,"Calf",0.123986736163051
"SRR5190273_1","10677_0023_idba_bin.239",41,18483,46,"SRR5190273_1.fastq",22574451,"Calf",0.11024735297043
"SRR5190273_1","malmuthuge.79",28,12450,8,"SRR5190273_1.fastq",22574451,"Calf",0.0284644920545132
"SRR5190273_1","malmuthuge.164",43,18489,27,"SRR5190273_1.fastq",22574451,"Calf",0.0646894031865205
"SRR5190273_1","malmuthuge.128",41,18225,11,"SRR5190273_1.fastq",22574451,"Calf",0.026736709100587
"SRR5190273_1","10674_min2k_bin.1792",42,18066,2,"SRR5190273_1.fastq",22574451,"Calf",0.00490400373738915
"SRR5190273_1","10677_0019_idba_bin.37",23,9222,2,"SRR5190273_1.fastq",22574451,"Calf",0.00960699756231538
"SRR5190273_1","10677_min2k_bin.3664",29,11922,4,"SRR5190273_1.fastq",22574451,"Calf",0.0148625619056656
"SRR5190273_1","10676_min2k_bin.3406",41,18084,5,"SRR5190273_1.fastq",22574451,"Calf",0.0122478062817508
"SRR5190273_1","10678_0024_idba_bin.135",41,17709,2,"SRR5190273_1.fastq",22574451,"Calf",0.00500286473090928
